date,industry,vacancies_thousands
2009Q4,Manufacturing,9.8
2010Q1,Manufacturing,12.3
2010Q2,Manufacturing,11.2
2010Q3,Manufacturing,14.0
2010Q4,Manufacturing,12.7
2011Q1,Manufacturing,12.1
2011Q2,Manufacturing,10.7
2011Q3,Manufacturing,10.4
2011Q4,Manufacturing,11.0
2012Q1,Manufacturing,12.1
2012Q2,Manufacturing,12.2
2012Q3,Manufacturing,12.4
2012Q4,Manufacturing,9.0
2013Q1,Manufacturing,10.6
2013Q2,Manufacturing,9.3
2013Q3,Manufacturing,9.0
2013Q4,Manufacturing,6.1
2014Q1,Manufacturing,8.0
2014Q2,Manufacturing,11.0
2014Q3,Manufacturing,10.6
2014Q4,Manufacturing,9.6
2015Q1,Manufacturing,10.0
2015Q2,Manufacturing,10.1
2015Q3,Manufacturing,7.3
2015Q4,Manufacturing,8.7
2016Q1,Manufacturing,9.1
2016Q2,Manufacturing,10.7
2016Q3,Manufacturing,7.7
2016Q4,Manufacturing,8.7
2017Q1,Manufacturing,10.6
2017Q2,Manufacturing,9.2
2017Q3,Manufacturing,10.9
2017Q4,Manufacturing,12.7
2018Q1,Manufacturing,12.4
2018Q2,Manufacturing,11.2
2018Q3,Manufacturing,10.3
2018Q4,Manufacturing,11.4
2019Q1,Manufacturing,12.2
2019Q2,Manufacturing,11.5
2019Q3,Manufacturing,11.6
2019Q4,Manufacturing,10.9
2020Q1,Manufacturing,12.2
2020Q2,Manufacturing,7.0
2020Q3,Manufacturing,13.5
2020Q4,Manufacturing,15.3
2021Q1,Manufacturing,16.6
2021Q2,Manufacturing,20.7
2021Q3,Manufacturing,23.2
2021Q4,Manufacturing,29.5
2022Q1,Manufacturing,30.6
2022Q2,Manufacturing,28.9
2022Q3,Manufacturing,28.3
2022Q4,Manufacturing,25.9
2023Q1,Manufacturing,25.1
2023Q2,Manufacturing,22.6
2023Q3,Manufacturing,25.1
2023Q4,Manufacturing,23.4
2024Q1,Manufacturing,23.3
2024Q2,Manufacturing,16.4
2024Q3,Manufacturing,14.7
2024Q4,Manufacturing,14.8
2025Q1,Manufacturing,18.2
2025Q2,Manufacturing,19.6
2025Q3,Manufacturing,21.5
2025Q4,Manufacturing,19.7
2026Q1,Manufacturing,18.6
2009Q4,Construction,11.8
2010Q1,Construction,13.4
2010Q2,Construction,13.1
2010Q3,Construction,13.5
2010Q4,Construction,12.0
2011Q1,Construction,20.1
2011Q2,Construction,19.4
2011Q3,Construction,23.9
2011Q4,Construction,13.7
2012Q1,Construction,16.1
2012Q2,Construction,20.3
2012Q3,Construction,16.8
2012Q4,Construction,16.7
2013Q1,Construction,12.7
2013Q2,Construction,16.5
2013Q3,Construction,12.8
2013Q4,Construction,9.9
2014Q1,Construction,13.9
2014Q2,Construction,13.4
2014Q3,Construction,12.3
2014Q4,Construction,11.3
2015Q1,Construction,13.2
2015Q2,Construction,12.7
2015Q3,Construction,9.8
2015Q4,Construction,9.5
2016Q1,Construction,11.3
2016Q2,Construction,10.0
2016Q3,Construction,10.6
2016Q4,Construction,11.2
2017Q1,Construction,12.4
2017Q2,Construction,11.8
2017Q3,Construction,13.4
2017Q4,Construction,13.7
2018Q1,Construction,14.5
2018Q2,Construction,14.8
2018Q3,Construction,16.0
2018Q4,Construction,17.3
2019Q1,Construction,19.3
2019Q2,Construction,15.7
2019Q3,Construction,14.9
2019Q4,Construction,16.6
2020Q1,Construction,16.6
2020Q2,Construction,8.3
2020Q3,Construction,15.9
2020Q4,Construction,17.9
2021Q1,Construction,26.7
2021Q2,Construction,29.9
2021Q3,Construction,23.2
2021Q4,Construction,30.0
2022Q1,Construction,35.2
2022Q2,Construction,39.9
2022Q3,Construction,33.5
2022Q4,Construction,29.9
2023Q1,Construction,31.2
2023Q2,Construction,33.1
2023Q3,Construction,28.8
2023Q4,Construction,28.5
2024Q1,Construction,27.9
2024Q2,Construction,24.9
2024Q3,Construction,25.1
2024Q4,Construction,22.2
2025Q1,Construction,18.5
2025Q2,Construction,22.3
2025Q3,Construction,19.5
2025Q4,Construction,18.1
2026Q1,Construction,21.6
2009Q4,Accommodation and Food Services,18.1
2010Q1,Accommodation and Food Services,13.2
