date,state,industry,employed_thousands
1984Q4,New South Wales,Accommodation and Food Services,78.08237993
1984Q4,New South Wales,Construction,153.16439897
1984Q4,New South Wales,Education and Training,150.25978453
1984Q4,New South Wales,Health Care and Social Assistance,187.82734109
1984Q4,New South Wales,Manufacturing,391.86458493
1984Q4,New South Wales,"Professional, Scientific and Technical Services",98.39847404999999
1984Q4,Queensland,Accommodation and Food Services,43.22625864
1984Q4,Queensland,Construction,79.41404554
1984Q4,Queensland,Education and Training,68.67424427
1984Q4,Queensland,Health Care and Social Assistance,81.95685021
1984Q4,Queensland,Manufacturing,120.68439979
1984Q4,Queensland,"Professional, Scientific and Technical Services",35.13427475
1984Q4,Victoria,Accommodation and Food Services,62.23079016
1984Q4,Victoria,Construction,107.97708433
1984Q4,Victoria,Education and Training,125.92277316
1984Q4,Victoria,Health Care and Social Assistance,141.95333111
1984Q4,Victoria,Manufacturing,373.11782004
1984Q4,Victoria,"Professional, Scientific and Technical Services",67.45999744
1985Q1,New South Wales,Accommodation and Food Services,74.81318255000001
1985Q1,New South Wales,Construction,154.29435686
1985Q1,New South Wales,Education and Training,138.00855228
1985Q1,New South Wales,Health Care and Social Assistance,195.28977878
1985Q1,New South Wales,Manufacturing,378.86409193
1985Q1,New South Wales,"Professional, Scientific and Technical Services",101.0027329
1985Q1,Queensland,Accommodation and Food Services,40.803758030000004
1985Q1,Queensland,Construction,80.31882628
1985Q1,Queensland,Education and Training,65.59672781
1985Q1,Queensland,Health Care and Social Assistance,80.92202641
1985Q1,Queensland,Manufacturing,125.67994846
1985Q1,Queensland,"Professional, Scientific and Technical Services",37.975972060000004
1985Q1,Victoria,Accommodation and Food Services,56.61837813
1985Q1,Victoria,Construction,128.57890247999998
1985Q1,Victoria,Education and Training,119.01463664
1985Q1,Victoria,Health Care and Social Assistance,133.87545641
1985Q1,Victoria,Manufacturing,381.66817032
1985Q1,Victoria,"Professional, Scientific and Technical Services",67.79426027
1985Q2,New South Wales,Accommodation and Food Services,75.99141152
1985Q2,New South Wales,Construction,160.58417662
1985Q2,New South Wales,Education and Training,134.52440066
1985Q2,New South Wales,Health Care and Social Assistance,177.45561017
1985Q2,New South Wales,Manufacturing,383.47754116
1985Q2,New South Wales,"Professional, Scientific and Technical Services",92.14067524000001
1985Q2,Queensland,Accommodation and Food Services,44.20952902
1985Q2,Queensland,Construction,90.58599472
1985Q2,Queensland,Education and Training,75.54336611
1985Q2,Queensland,Health Care and Social Assistance,83.527712
1985Q2,Queensland,Manufacturing,121.07185089000001
1985Q2,Queensland,"Professional, Scientific and Technical Services",39.16145321
1985Q2,Victoria,Accommodation and Food Services,59.77474379
1985Q2,Victoria,Construction,123.68049264999999
1985Q2,Victoria,Education and Training,131.15993106
1985Q2,Victoria,Health Care and Social Assistance,131.80349349
1985Q2,Victoria,Manufacturing,370.89106095
1985Q2,Victoria,"Professional, Scientific and Technical Services",79.29786545
1985Q3,New South Wales,Accommodation and Food Services,72.15272707
1985Q3,New South Wales,Construction,158.6786496
1985Q3,New South Wales,Education and Training,133.34315528
1985Q3,New South Wales,Health Care and Social Assistance,184.07574891
1985Q3,New South Wales,Manufacturing,353.07552314
1985Q3,New South Wales,"Professional, Scientific and Technical Services",95.32318076
1985Q3,Queensland,Accommodation and Food Services,45.12369233
1985Q3,Queensland,Construction,90.36423094
1985Q3,Queensland,Education and Training,75.89057277
1985Q3,Queensland,Health Care and Social Assistance,83.21918948
1985Q3,Queensland,Manufacturing,124.66239657999999
1985Q3,Queensland,"Professional, Scientific and Technical Services",39.99208751
1985Q3,Victoria,Accommodation and Food Services,59.21473906
1985Q3,Victoria,Construction,111.15695375
1985Q3,Victoria,Education and Training,138.86519456
1985Q3,Victoria,Health Care and Social Assistance,131.44073951
1985Q3,Victoria,Manufacturing,378.54050223
1985Q3,Victoria,"Professional, Scientific and Technical Services",75.19051038
1985Q4,New South Wales,Accommodation and Food Services,80.56886279
1985Q4,New South Wales,Construction,160.37248511
1985Q4,New South Wales,Education and Training,143.85642768
1985Q4,New South Wales,Health Care and Social Assistance,188.53535969
1985Q4,New South Wales,Manufacturing,376.62158431
1985Q4,New South Wales,"Professional, Scientific and Technical Services",100.12493339
1985Q4,Queensland,Accommodation and Food Services,49.235775329999996
1985Q4,Queensland,Construction,87.03645264
1985Q4,Queensland,Education and Training,75.66469558
1985Q4,Queensland,Health Care and Social Assistance,86.19361589
1985Q4,Queensland,Manufacturing,133.37034981
1985Q4,Queensland,"Professional, Scientific and Technical Services",40.07273163
1985Q4,Victoria,Accommodation and Food Services,61.76503196
1985Q4,Victoria,Construction,111.32871812
1985Q4,Victoria,Education and Training,140.15040247
1985Q4,Victoria,Health Care and Social Assistance,147.43212661
1985Q4,Victoria,Manufacturing,362.75371551
1985Q4,Victoria,"Professional, Scientific and Technical Services",74.6623689
1986Q1,New South Wales,Accommodation and Food Services,79.617626
1986Q1,New South Wales,Construction,152.31050841
1986Q1,New South Wales,Education and Training,127.79764755000001
1986Q1,New South Wales,Health Care and Social Assistance,191.98996682
1986Q1,New South Wales,Manufacturing,392.42718301
