date,state,industry,employed_thousands
Nov-1984,New South Wales,Manufacturing,391.9
Feb-1985,New South Wales,Manufacturing,378.9
May-1985,New South Wales,Manufacturing,383.5
Aug-1985,New South Wales,Manufacturing,353.1
Nov-1985,New South Wales,Manufacturing,376.6
Feb-1986,New South Wales,Manufacturing,392.4
May-1986,New South Wales,Manufacturing,395.2
Aug-1986,New South Wales,Manufacturing,386.8
Nov-1986,New South Wales,Manufacturing,383.5
Feb-1987,New South Wales,Manufacturing,380.4
May-1987,New South Wales,Manufacturing,381.3
Aug-1987,New South Wales,Manufacturing,380.9
Nov-1987,New South Wales,Manufacturing,392.0
Feb-1988,New South Wales,Manufacturing,405.1
May-1988,New South Wales,Manufacturing,396.3
Aug-1988,New South Wales,Manufacturing,393.3
Nov-1988,New South Wales,Manufacturing,396.8
Feb-1989,New South Wales,Manufacturing,398.0
May-1989,New South Wales,Manufacturing,401.7
Aug-1989,New South Wales,Manufacturing,393.7
Nov-1989,New South Wales,Manufacturing,402.2
Feb-1990,New South Wales,Manufacturing,391.0
May-1990,New South Wales,Manufacturing,385.1
Aug-1990,New South Wales,Manufacturing,372.7
Nov-1990,New South Wales,Manufacturing,384.8
Feb-1991,New South Wales,Manufacturing,358.2
May-1991,New South Wales,Manufacturing,364.3
Aug-1991,New South Wales,Manufacturing,347.8
Nov-1991,New South Wales,Manufacturing,362.1
Feb-1992,New South Wales,Manufacturing,355.6
May-1992,New South Wales,Manufacturing,350.0
Aug-1992,New South Wales,Manufacturing,346.1
Nov-1992,New South Wales,Manufacturing,366.7
Feb-1993,New South Wales,Manufacturing,355.6
May-1993,New South Wales,Manufacturing,352.8
Aug-1993,New South Wales,Manufacturing,351.7
Nov-1993,New South Wales,Manufacturing,358.4
Feb-1994,New South Wales,Manufacturing,367.0
May-1994,New South Wales,Manufacturing,361.6
Aug-1994,New South Wales,Manufacturing,362.8
Nov-1994,New South Wales,Manufacturing,348.7
Feb-1995,New South Wales,Manufacturing,357.4
May-1995,New South Wales,Manufacturing,347.4
Aug-1995,New South Wales,Manufacturing,352.0
Nov-1995,New South Wales,Manufacturing,333.2
Feb-1996,New South Wales,Manufacturing,338.7
May-1996,New South Wales,Manufacturing,337.0
Aug-1996,New South Wales,Manufacturing,354.0
Nov-1996,New South Wales,Manufacturing,367.8
Feb-1997,New South Wales,Manufacturing,364.0
May-1997,New South Wales,Manufacturing,361.9
Aug-1997,New South Wales,Manufacturing,383.2
Nov-1997,New South Wales,Manufacturing,372.5
Feb-1998,New South Wales,Manufacturing,346.7
May-1998,New South Wales,Manufacturing,335.0
Aug-1998,New South Wales,Manufacturing,345.7
Nov-1998,New South Wales,Manufacturing,332.9
Feb-1999,New South Wales,Manufacturing,324.4
May-1999,New South Wales,Manufacturing,325.0
Aug-1999,New South Wales,Manufacturing,326.4
Nov-1999,New South Wales,Manufacturing,326.4
Feb-2000,New South Wales,Manufacturing,324.2
May-2000,New South Wales,Manufacturing,353.6
Aug-2000,New South Wales,Manufacturing,340.1
Nov-2000,New South Wales,Manufacturing,322.3
Feb-2001,New South Wales,Manufacturing,343.2
May-2001,New South Wales,Manufacturing,334.7
Aug-2001,New South Wales,Manufacturing,314.8
Nov-2001,New South Wales,Manufacturing,319.2
Feb-2002,New South Wales,Manufacturing,319.5
May-2002,New South Wales,Manufacturing,335.3
Aug-2002,New South Wales,Manufacturing,343.4
Nov-2002,New South Wales,Manufacturing,352.0
Feb-2003,New South Wales,Manufacturing,353.0
May-2003,New South Wales,Manufacturing,320.9
Aug-2003,New South Wales,Manufacturing,320.0
Nov-2003,New South Wales,Manufacturing,299.9
Feb-2004,New South Wales,Manufacturing,309.0
May-2004,New South Wales,Manufacturing,310.2
Aug-2004,New South Wales,Manufacturing,320.0
Nov-2004,New South Wales,Manufacturing,309.6
Feb-2005,New South Wales,Manufacturing,311.6
May-2005,New South Wales,Manufacturing,303.4
Aug-2005,New South Wales,Manufacturing,307.5
Nov-2005,New South Wales,Manufacturing,313.7
Feb-2006,New South Wales,Manufacturing,300.7
May-2006,New South Wales,Manufacturing,286.4
Aug-2006,New South Wales,Manufacturing,284.8
Nov-2006,New South Wales,Manufacturing,294.1
Feb-2007,New South Wales,Manufacturing,301.3
May-2007,New South Wales,Manufacturing,295.1
Aug-2007,New South Wales,Manufacturing,307.9
Nov-2007,New South Wales,Manufacturing,317.7
Feb-2008,New South Wales,Manufacturing,324.5
May-2008,New South Wales,Manufacturing,304.7
Aug-2008,New South Wales,Manufacturing,296.3
Nov-2008,New South Wales,Manufacturing,297.6
Feb-2009,New South Wales,Manufacturing,296.2
May-2009,New South Wales,Manufacturing,305.4
Aug-2009,New South Wales,Manufacturing,305.2
Nov-2009,New South Wales,Manufacturing,301.6
Feb-2010,New South Wales,Manufacturing,304.1
May-2010,New South Wales,Manufacturing,288.8
Aug-2010,New South Wales,Manufacturing,288.6
Nov-2010,New South Wales,Manufacturing,294.4
Feb-2011,New South Wales,Manufacturing,309.3
May-2011,New South Wales,Manufacturing,279.1
Aug-2011,New South Wales,Manufacturing,269.4
Nov-2011,New South Wales,Manufacturing,279.9
Feb-2012,New South Wales,Manufacturing,282.6
May-2012,New South Wales,Manufacturing,266.2
Aug-2012,New South Wales,Manufacturing,291.0
Nov-2012,New South Wales,Manufacturing,310.3
Feb-2013,New South Wales,Manufacturing,297.1
May-2013,New South Wales,Manufacturing,284.5
Aug-2013,New South Wales,Manufacturing,263.2
Nov-2013,New South Wales,Manufacturing,269.1
