date,state,industry,unemployed_thousands
1991Q1,New South Wales,Accommodation and Food Services,12.68910694
1991Q1,New South Wales,Construction,21.524707019999997
1991Q1,New South Wales,Education and Training,3.84068139
1991Q1,New South Wales,Health Care and Social Assistance,4.672850990000001
1991Q1,New South Wales,Manufacturing,26.89421165
1991Q1,New South Wales,"Professional, Scientific and Technical Services",6.34716154
1991Q1,Queensland,Accommodation and Food Services,10.20163
1991Q1,Queensland,Construction,14.433806
1991Q1,Queensland,Education and Training,3.4528074099999997
1991Q1,Queensland,Health Care and Social Assistance,4.97675192
1991Q1,Queensland,Manufacturing,14.7418917
1991Q1,Queensland,"Professional, Scientific and Technical Services",2.32729916
1991Q1,Victoria,Accommodation and Food Services,6.24958365
1991Q1,Victoria,Construction,16.76579576
1991Q1,Victoria,Education and Training,4.05008523
1991Q1,Victoria,Health Care and Social Assistance,6.2064448
1991Q1,Victoria,Manufacturing,32.537584779999996
1991Q1,Victoria,"Professional, Scientific and Technical Services",5.43788506
1991Q2,New South Wales,Accommodation and Food Services,12.835689290000001
1991Q2,New South Wales,Construction,20.58140153
1991Q2,New South Wales,Education and Training,3.05880486
1991Q2,New South Wales,Health Care and Social Assistance,7.1028069799999995
1991Q2,New South Wales,Manufacturing,29.83217883
1991Q2,New South Wales,"Professional, Scientific and Technical Services",4.6063936000000005
1991Q2,Queensland,Accommodation and Food Services,9.0974244
1991Q2,Queensland,Construction,13.46401517
1991Q2,Queensland,Education and Training,2.65678959
1991Q2,Queensland,Health Care and Social Assistance,3.41622394
1991Q2,Queensland,Manufacturing,15.35968117
1991Q2,Queensland,"Professional, Scientific and Technical Services",2.73946723
1991Q2,Victoria,Accommodation and Food Services,9.821019549999999
1991Q2,Victoria,Construction,19.31173935
1991Q2,Victoria,Education and Training,3.19811362
1991Q2,Victoria,Health Care and Social Assistance,3.81618147
1991Q2,Victoria,Manufacturing,39.88751644
1991Q2,Victoria,"Professional, Scientific and Technical Services",7.22028328
1991Q3,New South Wales,Accommodation and Food Services,13.98590782
1991Q3,New South Wales,Construction,28.31276594
1991Q3,New South Wales,Education and Training,2.7077335
1991Q3,New South Wales,Health Care and Social Assistance,5.33196221
1991Q3,New South Wales,Manufacturing,35.545665459999995
1991Q3,New South Wales,"Professional, Scientific and Technical Services",5.39658969
1991Q3,Queensland,Accommodation and Food Services,7.93883922
1991Q3,Queensland,Construction,14.229198239999999
1991Q3,Queensland,Education and Training,1.05222098
1991Q3,Queensland,Health Care and Social Assistance,3.08451357
1991Q3,Queensland,Manufacturing,15.82633991
1991Q3,Queensland,"Professional, Scientific and Technical Services",2.30616126
1991Q3,Victoria,Accommodation and Food Services,9.81722564
1991Q3,Victoria,Construction,22.60259606
1991Q3,Victoria,Education and Training,2.49948687
1991Q3,Victoria,Health Care and Social Assistance,3.04481336
1991Q3,Victoria,Manufacturing,45.025630930000005
1991Q3,Victoria,"Professional, Scientific and Technical Services",4.56600524
1991Q4,New South Wales,Accommodation and Food Services,12.37463488
1991Q4,New South Wales,Construction,23.416139270000002
1991Q4,New South Wales,Education and Training,3.97745019
1991Q4,New South Wales,Health Care and Social Assistance,7.55317769
1991Q4,New South Wales,Manufacturing,34.67872311
1991Q4,New South Wales,"Professional, Scientific and Technical Services",5.30526761
1991Q4,Queensland,Accommodation and Food Services,6.4039741800000005
1991Q4,Queensland,Construction,10.529232870000001
1991Q4,Queensland,Education and Training,2.7406240200000003
1991Q4,Queensland,Health Care and Social Assistance,3.6734371500000003
1991Q4,Queensland,Manufacturing,13.99845424
1991Q4,Queensland,"Professional, Scientific and Technical Services",1.8415202700000002
1991Q4,Victoria,Accommodation and Food Services,8.76544459
1991Q4,Victoria,Construction,23.40900758
1991Q4,Victoria,Education and Training,3.77186939
1991Q4,Victoria,Health Care and Social Assistance,3.3658955
1991Q4,Victoria,Manufacturing,41.7844993
1991Q4,Victoria,"Professional, Scientific and Technical Services",3.2958997500000002
1992Q1,New South Wales,Accommodation and Food Services,12.4881965
1992Q1,New South Wales,Construction,22.80852269
1992Q1,New South Wales,Education and Training,4.74502628
1992Q1,New South Wales,Health Care and Social Assistance,8.1355232
1992Q1,New South Wales,Manufacturing,31.985712069999998
1992Q1,New South Wales,"Professional, Scientific and Technical Services",5.9492666100000005
1992Q1,Queensland,Accommodation and Food Services,8.11965526
1992Q1,Queensland,Construction,15.43716687
1992Q1,Queensland,Education and Training,2.79155852
1992Q1,Queensland,Health Care and Social Assistance,5.1345699
1992Q1,Queensland,Manufacturing,17.07836167
1992Q1,Queensland,"Professional, Scientific and Technical Services",2.97568592
1992Q1,Victoria,Accommodation and Food Services,11.514235679999999
1992Q1,Victoria,Construction,21.546065600000002
1992Q1,Victoria,Education and Training,4.68088541
1992Q1,Victoria,Health Care and Social Assistance,3.40583152
1992Q1,Victoria,Manufacturing,40.42775956
1992Q1,Victoria,"Professional, Scientific and Technical Services",6.14453494
1992Q2,New South Wales,Accommodation and Food Services,12.074547599999999
1992Q2,New South Wales,Construction,22.13324672
1992Q2,New South Wales,Education and Training,3.0705905600000003
1992Q2,New South Wales,Health Care and Social Assistance,8.28824833
1992Q2,New South Wales,Manufacturing,34.43773023
1992Q2,New South Wales,"Professional, Scientific and Technical Services",6.46058386
1992Q2,Queensland,Accommodation and Food Services,8.27092975
1992Q2,Queensland,Construction,15.14602492
1992Q2,Queensland,Education and Training,2.77971738
1992Q2,Queensland,Health Care and Social Assistance,3.4892787000000003
1992Q2,Queensland,Manufacturing,14.76789164
1992Q2,Queensland,"Professional, Scientific and Technical Services",2.62330981
1992Q2,Victoria,Accommodation and Food Services,9.433448720000001
1992Q2,Victoria,Construction,17.99300754
1992Q2,Victoria,Education and Training,2.65794039
1992Q2,Victoria,Health Care and Social Assistance,4.533905669999999
1992Q2,Victoria,Manufacturing,39.73767728
1992Q2,Victoria,"Professional, Scientific and Technical Services",6.39070463
1992Q3,New South Wales,Accommodation and Food Services,13.39401092
1992Q3,New South Wales,Construction,25.14537471
1992Q3,New South Wales,Education and Training,3.16066906
1992Q3,New South Wales,Health Care and Social Assistance,6.28210901
1992Q3,New South Wales,Manufacturing,35.86313108
1992Q3,New South Wales,"Professional, Scientific and Technical Services",6.55211909
1992Q3,Queensland,Accommodation and Food Services,8.49343463
1992Q3,Queensland,Construction,10.13670645
1992Q3,Queensland,Education and Training,2.2581382899999998
1992Q3,Queensland,Health Care and Social Assistance,3.01762706
1992Q3,Queensland,Manufacturing,15.91218493
1992Q3,Queensland,"Professional, Scientific and Technical Services",3.59040824
1992Q3,Victoria,Accommodation and Food Services,8.25302887
1992Q3,Victoria,Construction,18.9198568
1992Q3,Victoria,Education and Training,4.60713951
1992Q3,Victoria,Health Care and Social Assistance,3.58541439
1992Q3,Victoria,Manufacturing,33.70536659
1992Q3,Victoria,"Professional, Scientific and Technical Services",4.78168174
1992Q4,New South Wales,Accommodation and Food Services,13.6378021
1992Q4,New South Wales,Construction,22.539194000000002
1992Q4,New South Wales,Education and Training,4.380626680000001
1992Q4,New South Wales,Health Care and Social Assistance,4.32472083
1992Q4,New South Wales,Manufacturing,33.86550729
1992Q4,New South Wales,"Professional, Scientific and Technical Services",7.4342469
1992Q4,Queensland,Accommodation and Food Services,8.250741829999999
1992Q4,Queensland,Construction,10.99820088
1992Q4,Queensland,Education and Training,1.4006954
1992Q4,Queensland,Health Care and Social Assistance,4.64259088
1992Q4,Queensland,Manufacturing,16.21754059
1992Q4,Queensland,"Professional, Scientific and Technical Services",2.88815424
1992Q4,Victoria,Accommodation and Food Services,7.9106033700000005
1992Q4,Victoria,Construction,14.10044796
1992Q4,Victoria,Education and Training,2.82202757
1992Q4,Victoria,Health Care and Social Assistance,3.61924752
1992Q4,Victoria,Manufacturing,32.539445730000004
1992Q4,Victoria,"Professional, Scientific and Technical Services",3.0164308099999997
1993Q1,New South Wales,Accommodation and Food Services,15.6075968
1993Q1,New South Wales,Construction,23.44849357
1993Q1,New South Wales,Education and Training,6.50459763
1993Q1,New South Wales,Health Care and Social Assistance,6.9819103899999995
1993Q1,New South Wales,Manufacturing,37.68626726
1993Q1,New South Wales,"Professional, Scientific and Technical Services",7.7328433400000005
1993Q1,Queensland,Accommodation and Food Services,10.68590554
1993Q1,Queensland,Construction,11.93644006
1993Q1,Queensland,Education and Training,2.16682817
1993Q1,Queensland,Health Care and Social Assistance,3.9832795899999995
1993Q1,Queensland,Manufacturing,18.12046707
1993Q1,Queensland,"Professional, Scientific and Technical Services",3.66859586
1993Q1,Victoria,Accommodation and Food Services,8.70110399
1993Q1,Victoria,Construction,13.98096512
1993Q1,Victoria,Education and Training,6.03111634
1993Q1,Victoria,Health Care and Social Assistance,5.33667655
1993Q1,Victoria,Manufacturing,29.60294854
1993Q1,Victoria,"Professional, Scientific and Technical Services",4.10303904
1993Q2,New South Wales,Accommodation and Food Services,13.17847697
1993Q2,New South Wales,Construction,23.891772579999998
1993Q2,New South Wales,Education and Training,3.55252238
1993Q2,New South Wales,Health Care and Social Assistance,6.35080203
1993Q2,New South Wales,Manufacturing,30.68295472
1993Q2,New South Wales,"Professional, Scientific and Technical Services",5.9256167699999995
1993Q2,Queensland,Accommodation and Food Services,9.1442898
1993Q2,Queensland,Construction,14.62964114
1993Q2,Queensland,Education and Training,1.69360712
1993Q2,Queensland,Health Care and Social Assistance,2.23134291
1993Q2,Queensland,Manufacturing,16.61112748
1993Q2,Queensland,"Professional, Scientific and Technical Services",2.3018357199999997
1993Q2,Victoria,Accommodation and Food Services,9.250881360000001
1993Q2,Victoria,Construction,13.36469316
1993Q2,Victoria,Education and Training,4.86124109
1993Q2,Victoria,Health Care and Social Assistance,5.16704573
1993Q2,Victoria,Manufacturing,29.94347948
1993Q2,Victoria,"Professional, Scientific and Technical Services",3.97799928
1993Q3,New South Wales,Accommodation and Food Services,13.77378028
1993Q3,New South Wales,Construction,16.281655190000002
1993Q3,New South Wales,Education and Training,2.67535314
1993Q3,New South Wales,Health Care and Social Assistance,10.47369961
1993Q3,New South Wales,Manufacturing,27.30965855
1993Q3,New South Wales,"Professional, Scientific and Technical Services",5.93302793
1993Q3,Queensland,Accommodation and Food Services,10.26418715
1993Q3,Queensland,Construction,12.387698689999999
1993Q3,Queensland,Education and Training,1.5321566
1993Q3,Queensland,Health Care and Social Assistance,3.52094004
1993Q3,Queensland,Manufacturing,13.787689570000001
1993Q3,Queensland,"Professional, Scientific and Technical Services",1.68566071
1993Q3,Victoria,Accommodation and Food Services,9.306583940000001
1993Q3,Victoria,Construction,11.73288024
1993Q3,Victoria,Education and Training,4.45025665
1993Q3,Victoria,Health Care and Social Assistance,5.74001816
1993Q3,Victoria,Manufacturing,30.546568060000002
1993Q3,Victoria,"Professional, Scientific and Technical Services",4.48304703
1993Q4,New South Wales,Accommodation and Food Services,12.47635071
1993Q4,New South Wales,Construction,10.87381332
1993Q4,New South Wales,Education and Training,3.97477553
1993Q4,New South Wales,Health Care and Social Assistance,6.98935316
1993Q4,New South Wales,Manufacturing,29.20749888
1993Q4,New South Wales,"Professional, Scientific and Technical Services",3.85061506
1993Q4,Queensland,Accommodation and Food Services,11.74812888
1993Q4,Queensland,Construction,8.34924684
1993Q4,Queensland,Education and Training,1.9119297199999998
1993Q4,Queensland,Health Care and Social Assistance,4.45587393
1993Q4,Queensland,Manufacturing,15.84134333
1993Q4,Queensland,"Professional, Scientific and Technical Services",2.70262241
1993Q4,Victoria,Accommodation and Food Services,9.622701569999998
1993Q4,Victoria,Construction,13.669957629999999
1993Q4,Victoria,Education and Training,3.73314764
1993Q4,Victoria,Health Care and Social Assistance,5.51376022
1993Q4,Victoria,Manufacturing,31.89521205
1993Q4,Victoria,"Professional, Scientific and Technical Services",3.09227065
1994Q1,New South Wales,Accommodation and Food Services,9.349157289999999
1994Q1,New South Wales,Construction,13.64055104
1994Q1,New South Wales,Education and Training,4.31904681
1994Q1,New South Wales,Health Care and Social Assistance,5.056234089999999
1994Q1,New South Wales,Manufacturing,28.29264663
1994Q1,New South Wales,"Professional, Scientific and Technical Services",6.07219044
1994Q1,Queensland,Accommodation and Food Services,10.43512693
1994Q1,Queensland,Construction,10.00510519
1994Q1,Queensland,Education and Training,3.90792933
1994Q1,Queensland,Health Care and Social Assistance,4.611213859999999
1994Q1,Queensland,Manufacturing,13.1732338
1994Q1,Queensland,"Professional, Scientific and Technical Services",2.95986886
1994Q1,Victoria,Accommodation and Food Services,8.01958314
1994Q1,Victoria,Construction,12.46250059
1994Q1,Victoria,Education and Training,4.845711189999999
1994Q1,Victoria,Health Care and Social Assistance,6.95761969
1994Q1,Victoria,Manufacturing,27.83893427
1994Q1,Victoria,"Professional, Scientific and Technical Services",3.86027643
1994Q2,New South Wales,Accommodation and Food Services,10.39180599
1994Q2,New South Wales,Construction,15.09508536
1994Q2,New South Wales,Education and Training,3.8827165800000003
1994Q2,New South Wales,Health Care and Social Assistance,4.3602813099999995
1994Q2,New South Wales,Manufacturing,24.98611573
1994Q2,New South Wales,"Professional, Scientific and Technical Services",4.54996995
1994Q2,Queensland,Accommodation and Food Services,9.95489209
1994Q2,Queensland,Construction,7.90320855
1994Q2,Queensland,Education and Training,2.9042346400000003
1994Q2,Queensland,Health Care and Social Assistance,4.38741636
1994Q2,Queensland,Manufacturing,12.270916080000001
1994Q2,Queensland,"Professional, Scientific and Technical Services",1.95402896
1994Q2,Victoria,Accommodation and Food Services,7.94885206
1994Q2,Victoria,Construction,9.03071531
1994Q2,Victoria,Education and Training,3.7829327900000003
1994Q2,Victoria,Health Care and Social Assistance,4.3153831600000006
