date,industry,wpi_growth
1998Q3,Manufacturing,3.9
1998Q4,Manufacturing,3.5
1999Q1,Manufacturing,2.9
1999Q2,Manufacturing,2.9
1999Q3,Manufacturing,2.7
1999Q4,Manufacturing,2.6
2000Q1,Manufacturing,2.8
2000Q2,Manufacturing,2.7
2000Q3,Manufacturing,2.8
2000Q4,Manufacturing,3.3
2001Q1,Manufacturing,3.5
2001Q2,Manufacturing,3.6
2001Q3,Manufacturing,3.7
2001Q4,Manufacturing,3.2
2002Q1,Manufacturing,3.2
2002Q2,Manufacturing,3.2
2002Q3,Manufacturing,3.5
2002Q4,Manufacturing,3.8
2003Q1,Manufacturing,3.6
2003Q2,Manufacturing,3.6
2003Q3,Manufacturing,3.2
2003Q4,Manufacturing,3.4
2004Q1,Manufacturing,3.4
2004Q2,Manufacturing,3.5
2004Q3,Manufacturing,3.9
2004Q4,Manufacturing,3.5
2005Q1,Manufacturing,3.9
2005Q2,Manufacturing,4.0
2005Q3,Manufacturing,3.9
2005Q4,Manufacturing,4.1
2006Q1,Manufacturing,4.1
2006Q2,Manufacturing,4.0
2006Q3,Manufacturing,3.6
2006Q4,Manufacturing,3.5
2007Q1,Manufacturing,3.7
2007Q2,Manufacturing,4.1
2007Q3,Manufacturing,4.4
2007Q4,Manufacturing,4.4
2008Q1,Manufacturing,4.3
2008Q2,Manufacturing,4.6
2008Q3,Manufacturing,4.1
2008Q4,Manufacturing,4.3
2009Q1,Manufacturing,3.6
2009Q2,Manufacturing,2.6
2009Q3,Manufacturing,2.5
2009Q4,Manufacturing,2.0
2010Q1,Manufacturing,2.1
2010Q2,Manufacturing,2.5
2010Q3,Manufacturing,3.2
2010Q4,Manufacturing,3.9
2011Q1,Manufacturing,4.1
2011Q2,Manufacturing,4.1
2011Q3,Manufacturing,3.6
2011Q4,Manufacturing,3.7
2012Q1,Manufacturing,3.8
2012Q2,Manufacturing,3.8
2012Q3,Manufacturing,3.7
2012Q4,Manufacturing,3.2
2013Q1,Manufacturing,3.0
2013Q2,Manufacturing,2.9
2013Q3,Manufacturing,3.0
